Spring 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Generated 5/5/2023, 2:12:22 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Term,Term Code,Department Code,Subject Code,Catalog Number,Course,Section #,Course Title,Section Type,Title/Topic,Meeting Pattern,Meetings,Instructor,Room,Status,Session,Campus,Inst. Method,Integ. Partner,Schedule Print,Consent,Credit Hrs Min,Credit Hrs,Grade Mode,Attributes,Course Attributes,Room Attributes,Enrollment,Maximum Enrollment,Prior Enrollment,Projected Enrollment,Wait Cap,Rm Cap Request,Cross-listings,Cross-list Maximum,Cross-list Projected,Cross-list Wait Cap,Cross-list Rm Cap Request,Link To,Comments,Notes#1,Notes#2
,Spring 2023,1231,UNO-CONSYS,CONE,489,CONE 489,1,CONSTRUCTION ENGINEERING CAPSTONE,Lecture,,M 5:30pm-8:10pm,M 5:30pm-8:10pm,"Cuddigan, Patrick (33623004) [Primary Instructor, Post, Print]; Balus, Andrew (13104387) [Secondary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,1,15,,,0,15,See CNST 489-001,40,,0,40,,,,
CONE 817 - FORMWORK SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CONE,817,CONE 817,1,FORMWORK SYSTEMS,Lecture,,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Morcous, George (73182764) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,2,8,,,0,8,See CONE 417-001,40,,0,40,,,,
,Spring 2023,1231,UNO-CONSYS,CONE,817,CONE 817,820,FORMWORK SYSTEMS,Lecture,,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Morcous, George (73182764) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CONE 417-001,40,,0,40,,,,
CONE 898 - SPECIAL TOPICS IN CONSTRUCTION ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CONSYS,CONE,898,CONE 898,1,SPECIAL TOPICS IN CONSTRUCTION ENGINEERING,Research,,TR 3pm-4:15pm,TR 3pm-4:15pm,"Maguire, Marcus (67463304) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,Instructor Consent Required,1,6,Graded,,,,7,10,,,0,10,"Also AREN 8940-003, CONE 898-820",20,,0,20,,,,
,Spring 2023,1231,UNO-CONSYS,CONE,898,CONE 898,820,SPECIAL TOPICS IN CONSTRUCTION ENGINEERING,Research,,TR 3pm-4:15pm,TR 3pm-4:15pm,"Maguire, Marcus (67463304) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,Instructor Consent Required,1,6,Graded,Remote Learning: Remote Learning,,,0,0,,,0,0,See CONE 898-001,20,,0,20,,,,
CSCI 1200 - COMPUTER SCIENCE PRINCIPLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,1200,CSCI 1200,1,COMPUTER SCIENCE PRINCIPLES,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Ashokan, Ashwathy (58692766) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,University General Education: Natural/Physical Sci General Education lecture,University General Education: Natural/Physical Sci General Education lecture,,35,35,,,99,35,,,,,,,,,
CSCI 1204 - COMPUTER SCIENCE PRINCIPLES LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,1204,CSCI 1204,1,COMPUTER SCIENCE PRINCIPLES LABORATORY,Laboratory,,F 12:15pm-1:30pm,F 12:15pm-1:30pm,"Ashokan, Ashwathy (58692766) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,1,1,Graded,University General Education: Natural/Physical Sci General Education lab course,University General Education: Natural/Physical Sci General Education lab course,,23,25,,,99,25,,,,,,,,,
CSCI 2030 - MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,2030,CSCI 2030,1,MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE,Lecture,,TR 10:30am-11:45am,TR 10:30am-11:45am,"Solheim, Jeffery (84334019) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,34,35,,,99,35,,,,,,,,,
CSCI 2510 - INTRODUCTION TO GAME PROGRAMMING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,2510,CSCI 2510,1,INTRODUCTION TO GAME PROGRAMMING,Lecture,,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Ricks, Brian (17816140) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,Open Nebraska: No Cost Materials,,,35,35,,,99,35,,,,,,,,,
CSCI 2830 - OBJECT-ORIENTED SOFTWARE ENGINEERING FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,2830,CSCI 2830,1,OBJECT-ORIENTED SOFTWARE ENGINEERING FUNDAMENTALS,Lecture/Lab (combo),,TR 12pm-1:15pm,TR 12pm-1:15pm,"Siy, Harvey (64742886) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,17,30,,,0,30,,,,,,,,,
CSCI 2980 - TOPICS IN COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,2980,CSCI 2980,1,TOPICS IN COMPUTER SCIENCE,Lecture,,TR 6pm-7:15pm,TR 6pm-7:15pm,"Stejskal, Ryan (91134731) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,Instructor Consent Required,3,3,Graded,Scott Scholars: Scott Scholars Only,,,34,35,,,0,35,,,,,,,,Reserved for Scott Scholars who have completed EDL 2590.,
CSCI 3320 - DATA STRUCTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,3320,CSCI 3320,1,DATA STRUCTURES,Lecture,,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Zhong, Xin (11981844) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,31,30,,,99,30,,,,,,,,,
CSCI 3450 - NATURAL LANGUAGE PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,3450,CSCI 3450,1,NATURAL LANGUAGE PROCESSING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Lierler, Yuliya (42486005) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,27,30,,,99,30,Also CYBR 3450-001,35,,99,35,,,,
CSCI 3550 - COMMUNICATION NETWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,3550,CSCI 3550,1,COMMUNICATION NETWORKS,Lecture,,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm (2023-01-23 to 2023-05-12),"Santos, Jose (16377095) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,34,35,,,99,35,,,,,,,,,
CSCI 3660 - THEORY OF COMPUTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,3660,CSCI 3660,1,THEORY OF COMPUTATION,Lecture,,TR 9am-10:15am,TR 9am-10:15am,"Solheim, Jeffery (84334019) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,28,30,,,99,30,,,,,,,,,
CSCI 3710 - INTRODUCTION TO DIGITAL DESIGN AND COMPUTER ORGANIZATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,3710,CSCI 3710,1,INTRODUCTION TO DIGITAL DESIGN AND COMPUTER ORGANIZATION,Lecture,,F 9am-11:45am,F 9am-11:45am,"Farhat, Hassan (72647175) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,28,30,,,0,35,,,,,,,,,
CSCI 4220 - PRINCIPLES OF PROGRAMMING LANGUAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4220,CSCI 4220,1,PRINCIPLES OF PROGRAMMING LANGUAGES,Lecture,,MW 3pm-4:15pm,MW 3pm-4:15pm,"Fandinno Garcia, Jorge (87694147) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,29,30,,,99,30,,,,,,,,,
CSCI 4260 - USER EXPERIENCE DESIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4260,CSCI 4260,1,USER EXPERIENCE DESIGN,Lecture,,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm,"Clarke, Martina (55703786) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,Open Nebraska: No Cost Materials,,,25,30,,,99,30,Also ITIN 4260-001,35,,99,35,,,,
CSCI 4350 - COMPUTER ARCHITECTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4350,CSCI 4350,1,COMPUTER ARCHITECTURE,Lecture,,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm,"Oh, Kwangsung (90846155) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,24,30,,,99,30,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4350,CSCI 4350,2,COMPUTER ARCHITECTURE,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Oh, Kwangsung (90846155) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,27,30,,,99,30,,,,,,,,,
CSCI 4380 - DIGITAL FORENSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4380,CSCI 4380,1,DIGITAL FORENSICS,Lecture/Lab (combo),,M 6pm-8:40pm,M 6pm-8:40pm,"Grispos, George (87046629) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,1,10,,,99,10,Also CYBR 4380-001,35,,99,35,,,,
CSCI 4450 - INTRODUCTION TO ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4450,CSCI 4450,1,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,Lecture,,MW 4:30pm-5:45pm,MW 4:30pm-5:45pm,"Fandinno Garcia, Jorge (87694147) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,30,30,,,99,30,Also CSCI 8456-001,45,,99,45,,,,
CSCI 4500 - OPERATING SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4500,CSCI 4500,1,OPERATING SYSTEMS,Lecture,,MW 12pm-1:15pm,MW 12pm-1:15pm,"Santos, Jose (16377095) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,24,25,,,99,25,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4500,CSCI 4500,2,OPERATING SYSTEMS,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Santos, Jose (16377095) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,30,30,,,99,35,,,,,,,,,
CSCI 4620 - COMPUTER GRAPHICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4620,CSCI 4620,1,COMPUTER GRAPHICS,Lecture,,TR 10:30am-11:45am,TR 10:30am-11:45am,"Ricks, Brian (17816140) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,Open Nebraska: No Cost Materials,,,34,35,,,99,35,Also CSCI 8626-001,43,,99,43,,,,
CSCI 4830 - INTRODUCTION SOFTWARE ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,4830,CSCI 4830,1,INTRODUCTION SOFTWARE ENGINEERING,Lecture,,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Song, Myoungkyu (44676836) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,25,35,,,99,35,Also CSCI 8836-001,40,,99,40,,,,
CSCI 8050 - ALGORITHMIC GRAPH THEORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,8050,CSCI 8050,1,ALGORITHMIC GRAPH THEORY,Lecture,,MW 1:30pm-2:45pm,MW 1:30pm-2:45pm,"Ali, Hesham (76789688) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,12,25,,,0,30,,,,,,,,,
CSCI 8080 - DESIGN AND ANALYSIS OF ALGORITHMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,8080,CSCI 8080,1,DESIGN AND ANALYSIS OF ALGORITHMS,Lecture,,MW 4:30pm-5:45pm,MW 4:30pm-5:45pm,"Ali, Hesham (76789688) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,25,25,,,99,25,Also MATH 8080-001,30,,99,30,,,,
CSCI 8366 - FOUNDATIONS OF CYBERSECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,8366,CSCI 8366,1,FOUNDATIONS OF CYBERSECURITY,Lecture,,T 6pm-8:40pm,T 6pm-8:40pm,"Gandhi, Robin (20882301) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,3,5,,,99,25,"Also CYBR 4360-001, CYBR 8366-001",35,,99,35,,,,
CSCI 8456 - INTRODUCTION TO ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,8456,CSCI 8456,1,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,Lecture,,MW 4:30pm-5:45pm,MW 4:30pm-5:45pm,"Fandinno Garcia, Jorge (87694147) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,11,15,,,99,15,See CSCI 4450-001,45,,99,45,,,,
CSCI 8626 - COMPUTER GRAPHICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,8626,CSCI 8626,1,COMPUTER GRAPHICS,Lecture,,TR 10:30am-11:45am,TR 10:30am-11:45am,"Ricks, Brian (17816140) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,5,8,,,99,8,See CSCI 4620-001,43,,99,43,,,,
CSCI 8760 - FORMAL METHODS IN SOFTWARE ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,8760,CSCI 8760,1,FORMAL METHODS IN SOFTWARE ENGINEERING,Lecture,,TR 12pm-1:15pm,TR 12pm-1:15pm,"Subramaniam, Mahadevan (70248267) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,17,30,,,0,30,,,,,,,,,
CSCI 8836 - INTRODUCTION SOFTWARE ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-CSCI,CSCI,8836,CSCI 8836,1,INTRODUCTION SOFTWARE ENGINEERING,Lecture,,TR 1:30pm-2:45pm,TR 1:30pm-2:45pm,"Song, Myoungkyu (44676836) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,2,5,,,99,5,See CSCI 4830-001,40,,99,40,,,,
CYBR 1100 - INTRODUCTION TO INFORMATION SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,1100,CYBR 1100,1,INTRODUCTION TO INFORMATION SECURITY,Lecture,,MW 12pm-1:15pm,MW 12pm-1:15pm,"Babb, Derek (17848255) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,Open Nebraska: No Cost Materials; University General Education: Global Diversity General Education course,University General Education: Global Diversity General Education course,,32,32,,,99,40,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,1100,CYBR 1100,2,INTRODUCTION TO INFORMATION SECURITY,Lecture,,TR 3pm-4:15pm,TR 3pm-4:15pm,"Rogers, John (13956876) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,Open Nebraska: No Cost Materials; University General Education: Global Diversity General Education course,University General Education: Global Diversity General Education course,,31,32,,,0,30,,,,,,,,,
CYBR 2600 - SYSTEM ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,2600,CYBR 2600,1,SYSTEM ADMINISTRATION,Lecture/Lab (combo),,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm,"Hoff, Gregory (80563350) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,30,30,,,99,35,,,,,,,,This course replaces the content of CYBR 3350 & 3370 and should not be taken if you have already completed either course.,
CYBR 3450 - NATURAL LANGUAGE PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,3450,CYBR 3450,1,NATURAL LANGUAGE PROCESSING,Lecture,,MW 10:30am-11:45am,MW 10:30am-11:45am,"Lierler, Yuliya (42486005) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,5,5,,,99,5,See CSCI 3450-001,35,,99,35,,,,
CYBR 3570 - CRYPTOGRAPHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,3570,CYBR 3570,1,CRYPTOGRAPHY,Lecture,,MW 3pm-4:15pm,MW 3pm-4:15pm,"Mandal, Sayonnha (68484909) [Primary Instructor, Post, Print]",,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,16,30,,,99,30,,,,,,,,,
CYBR 3600 - INFORMATION SECURITY POLICY AND AWARENESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,3600,CYBR 3600,1,INFORMATION SECURITY POLICY AND AWARENESS,Lecture,,R 6pm-8:40pm,R 6pm-8:40pm,"Feilmeier, Matthew (97077202) [Primary Instructor, Post, Print]",Peter Kiewit Institute 361,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,Open Nebraska: Low Cost Materials,,,15,30,,,99,30,,,,,,,,,
CYBR 4360 - FOUNDATIONS OF CYBERSECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,4360,CYBR 4360,1,FOUNDATIONS OF CYBERSECURITY,Lecture,,T 6pm-8:40pm,T 6pm-8:40pm,"Gandhi, Robin (20882301) [Primary Instructor, Post, Print]",Peter Kiewit Institute 361,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,15,15,,,99,25,See CSCI 8366-001,35,,99,35,,,,
CYBR 4380 - DIGITAL FORENSICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,4380,CYBR 4380,1,DIGITAL FORENSICS,Lecture/Lab (combo),,M 6pm-8:40pm,M 6pm-8:40pm,"Grispos, George (87046629) [Primary Instructor, Post, Print]",Peter Kiewit Institute 361,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,16,20,,,99,20,See CSCI 4380-001,35,,99,35,,,,
CYBR 4450 - HOST-BASED VULNERABILITY DISCOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,4450,CYBR 4450,1,HOST-BASED VULNERABILITY DISCOVERY,Lecture,,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm,"Mahoney, William (23953063) [Primary Instructor, Post, Print]",Peter Kiewit Institute 361,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,21,20,,,0,30,See CYBR 8456-001,35,,0,40,,,,
CYBR 8366 - FOUNDATIONS OF CYBERSECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,8366,CYBR 8366,1,FOUNDATIONS OF CYBERSECURITY,Lecture,,T 6pm-8:40pm,T 6pm-8:40pm,"Gandhi, Robin (20882301) [Primary Instructor, Post, Print]",Peter Kiewit Institute 361,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,3,10,,,99,25,See CSCI 8366-001,35,,99,35,,,,
CYBR 8410 - DISTRIBUTED SYSTEMS AND NETWORK SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,8410,CYBR 8410,1,DISTRIBUTED SYSTEMS AND NETWORK SECURITY,Lecture,,R 6pm-8:40pm,R 6pm-8:40pm,"Zhao, Rui (78266138) [Primary Instructor, Post, Print]",Peter Kiewit Institute 276,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,13,30,,,99,30,,,,,,,,,
CYBR 8456 - HOST-BASED VULNERABILITY DISCOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-IDIF,CYBR,8456,CYBR 8456,1,HOST-BASED VULNERABILITY DISCOVERY,Lecture,,TR 4:30pm-5:45pm,TR 4:30pm-5:45pm,"Mahoney, William (23953063) [Primary Instructor, Post, Print]",Peter Kiewit Institute 361,Active,Regular Academic Session,UNO-IS,In Person,,Yes,No Special Consent Required,3,3,Graded,Open Nebraska: No Cost Materials,,,3,10,,,0,10,Also CYBR 4450-001,35,,0,40,,,,
ECEN 103 - ELECTRICAL AND COMPUTER ENGINEERING FUNDAMENTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,103,ECEN 103,1,ELECTRICAL AND COMPUTER ENGINEERING FUNDAMENTALS,Lecture,,TR 5:30pm-6:45pm,TR 5:30pm-6:45pm,"Yang, Lamar (19310279) [Primary Instructor, Post, Print]",Peter Kiewit Institute 261,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,18,30,,,99,40,,,,,,,"DONE, AMJ - Please assign to PKI 313",Overflow rooms to PKI 311 and 340.,
,Spring 2023,1231,UNO-ELEC,ECEN,103,ECEN 103,2,ELECTRICAL AND COMPUTER ENGINEERING FUNDAMENTALS,Laboratory,,R 7pm-9:40pm,R 7pm-9:40pm,"Yang, Lamar (19310279) [Primary Instructor, Post, Print]",Peter Kiewit Institute 311,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,4,4,Graded,,,,18,30,,,99,30,,,,,,Any,"DONE, AMJ - Please assign to PKI 311",,
ECEN 106 - MICROPROCESSOR APPLICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring 2023,1231,UNO-ELEC,ECEN,106,ECEN 106,1,MICROPROCESSOR APPLICATIONS,Lecture,,MW 11:30am-12:20pm,MW 11:30am-12:20pm,"Detloff, Herbert (94889479) [Primary Instructor, Post, Print]",Peter Kiewit Institute 252,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,27,30,,,99,30,,,,,,,"DONE, AMJ - Please assign to PKI 252",,
,Spring 2023,1231,UNO-ELEC,ECEN,106,ECEN 106,2,MICROPROCESSOR APPLICATIONS,Lecture,,MW 12:30pm-1:20pm,MW 12:30pm-1:20pm,"Detloff, Herbert (94889479) [Primary Instructor, Post, Print]",Peter Kiewit Institute 252,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,18,30,,,99,30,,,,,,,"DONE, AMJ - Please assign to PKI 252",,
,Spring 2023,1231,UNO-ELEC,ECEN,106,ECEN 106,3,MICROPROCESSOR APPLICATIONS,Laboratory,,T 1:30pm-4:20pm,T 1:30pm-4:20pm,"Detloff, Herbert (94889479) [Primary Instructor, Post, Print]",Peter Kiewit Institute 311,Active,Regular Academic Session,UNO Engineering,In Person,,Yes,No Special Consent Required,3,3,Graded,,,,29,40,,,99,40,,,,,,Any,"DONE, AMJ - Please assign to PKI 311",Overflow rooms PKI 313 and 340,
